Name,Site,Location,Status,Facility ID,Tenant,Role,Type,Height,Devices,Space
CONTEINER 01,SEDUC,CONTEINER,Active,,,redundaria,,42U,7,16.666666666666664%
CONTEINER 02,SEDUC,CONTEINER,Active,,,redundaria,,42U,9,35.714285714285715%
SEDUC DD01,SEDUC,DADOS,Active,,,servidores,,42U,1,11.904761904761903%
SEDUC FD0A,SEDUC,FD0A,Active,,,Distribuicao,,42U,2,7.142857142857142%
SEDUC FD0B,SEDUC,FD0B,Active,,,Distribuicao,,42U,1,2.380952380952381%
SEDUC FD1A,SEDUC,FD1A,Active,,,Distribuicao,,42U,0,0.0%
SEDUC FD1B,SEDUC,FD1B,Active,,,Distribuicao,,42U,1,2.380952380952381%
SEDUC DT01,SEDUC,TELECOM,Active,,,infovia,,42U,0,0.0%
